"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"2002"	"2002"	107	657518	16.3
	"Jefferson County, AL"	"01073"	"2003"	"2003"	128	657513	19.5
	"Jefferson County, AL"	"01073"	"2004"	"2004"	83	656023	12.7
	"Jefferson County, AL"	"01073"	"2005"	"2005"	131	654919	20.0
	"Jefferson County, AL"	"01073"	"2006"	"2006"	139	655893	21.2
	"Jefferson County, AL"	"01073"	"2007"	"2007"	127	655163	19.4
	"Jefferson County, AL"	"01073"	"2008"	"2008"	123	656510	18.7
	"Jefferson County, AL"	"01073"	"2009"	"2009"	102	658441	15.5
	"Jefferson County, AL"	"01073"	"2010"	"2010"	97	658466	14.7
	"Jefferson County, AL"	"01073"	"2011"	"2011"	91	658931	13.8
	"Jefferson County, AL"	"01073"	"2012"	"2012"	95	660009	14.4
	"Jefferson County, AL"	"01073"	"2013"	"2013"	95	659479	14.4
	"Jefferson County, AL"	"01073"	"2014"	"2014"	81	660793	12.3
	"Jefferson County, AL"	"01073"	"2015"	"2015"	131	660367	19.8
	"Jefferson County, AL"	"01073"	"2016"	"2016"	140	659521	21.2
	"Lauderdale County, AL"	"01077"	"2009"	"2009"	10	92526	Unreliable
	"Lee County, AL"	"01081"	"1999"	"1999"	13	112898	Unreliable
	"Lee County, AL"	"01081"	"2000"	"2000"	12	115092	Unreliable
	"Lee County, AL"	"01081"	"2001"	"2001"	11	116819	Unreliable
	"Lee County, AL"	"01081"	"2004"	"2004"	15	122274	Unreliable
	"Lee County, AL"	"01081"	"2006"	"2006"	11	129247	Unreliable
	"Lee County, AL"	"01081"	"2012"	"2012"	15	147257	Unreliable
	"Lee County, AL"	"01081"	"2014"	"2014"	10	154255	Unreliable
	"Lee County, AL"	"01081"	"2015"	"2015"	10	156993	Unreliable
	"Lee County, AL"	"01081"	"2016"	"2016"	21	158991	13.2
	"Madison County, AL"	"01089"	"1999"	"1999"	18	274692	Unreliable
	"Madison County, AL"	"01089"	"2000"	"2000"	10	276700	Unreliable
	"Madison County, AL"	"01089"	"2001"	"2001"	17	281517	Unreliable
	"Madison County, AL"	"01089"	"2002"	"2002"	14	286439	Unreliable
	"Madison County, AL"	"01089"	"2003"	"2003"	20	291342	6.9
	"Madison County, AL"	"01089"	"2005"	"2005"	20	301474	6.6
	"Madison County, AL"	"01089"	"2006"	"2006"	12	309170	Unreliable
	"Madison County, AL"	"01089"	"2007"	"2007"	24	315859	7.6
	"Madison County, AL"	"01089"	"2008"	"2008"	19	323526	Unreliable
	"Madison County, AL"	"01089"	"2009"	"2009"	14	330856	Unreliable
	"Madison County, AL"	"01089"	"2010"	"2010"	24	334811	7.2
	"Madison County, AL"	"01089"	"2011"	"2011"	16	340111	Unreliable
	"Madison County, AL"	"01089"	"2012"	"2012"	19	343080	Unreliable
	"Madison County, AL"	"01089"	"2013"	"2013"	31	346892	8.9
	"Madison County, AL"	"01089"	"2014"	"2014"	21	350299	6.0
	"Madison County, AL"	"01089"	"2015"	"2015"	20	353089	5.7
	"Madison County, AL"	"01089"	"2016"	"2016"	25	356967	7.0
	"Mobile County, AL"	"01097"	"1999"	"1999"	61	399323	15.3
	"Mobile County, AL"	"01097"	"2000"	"2000"	45	399843	11.3
	"Mobile County, AL"	"01097"	"2001"	"2001"	73	400129	18.2
	"Mobile County, AL"	"01097"	"2002"	"2002"	62	398549	15.6
	"Mobile County, AL"	"01097"	"2003"	"2003"	40	398082	10.0
	"Mobile County, AL"	"01097"	"2004"	"2004"	41	397959	10.3
	"Mobile County, AL"	"01097"	"2005"	"2005"	52	398942	13.0
	"Mobile County, AL"	"01097"	"2006"	"2006"	57	402916	14.1
	"Mobile County, AL"	"01097"	"2007"	"2007"	72	405715	17.7
	"Mobile County, AL"	"01097"	"2008"	"2008"	77	409196	18.8
	"Mobile County, AL"	"01097"	"2009"	"2009"	51	411994	12.4
	"Mobile County, AL"	"01097"	"2010"	"2010"	48	412992	11.6
	"Mobile County, AL"	"01097"	"2011"	"2011"	62	412577	15.0
	"Mobile County, AL"	"01097"	"2012"	"2012"	57	413936	13.8
	"Mobile County, AL"	"01097"	"2013"	"2013"	51	414079	12.3
	"Mobile County, AL"	"01097"	"2014"	"2014"	54	415123	13.0
	"Mobile County, AL"	"01097"	"2015"	"2015"	58	415395	14.0
	"Mobile County, AL"	"01097"	"2016"	"2016"	79	414836	19.0
	"Montgomery County, AL"	"01101"	"1999"	"1999"	36	223548	16.1
	"Montgomery County, AL"	"01101"	"2000"	"2000"	39	223510	17.4
	"Montgomery County, AL"	"01101"	"2001"	"2001"	33	223048	14.8
	"Montgomery County, AL"	"01101"	"2002"	"2002"	35	223185	15.7
	"Montgomery County, AL"	"01101"	"2003"	"2003"	26	222680	11.7
	"Montgomery County, AL"	"01101"	"2004"	"2004"	25	223002	11.2
	"Montgomery County, AL"	"01101"	"2005"	"2005"	35	223608	15.7
	"Montgomery County, AL"	"01101"	"2006"	"2006"	33	227291	14.5
	"Montgomery County, AL"	"01101"	"2007"	"2007"	44	227888	19.3
	"Montgomery County, AL"	"01101"	"2008"	"2008"	26	227461	11.4
	"Montgomery County, AL"	"01101"	"2009"	"2009"	34	227607	14.9
	"Montgomery County, AL"	"01101"	"2010"	"2010"	26	229363	11.3
	"Montgomery County, AL"	"01101"	"2011"	"2011"	35	232032	15.1
	"Montgomery County, AL"	"01101"	"2012"	"2012"	41	230149	17.8
	"Montgomery County, AL"	"01101"	"2013"	"2013"	49	226659	21.6
	"Montgomery County, AL"	"01101"	"2014"	"2014"	41	226189	18.1
	"Montgomery County, AL"	"01101"	"2015"	"2015"	44	226519	19.4
	"Montgomery County, AL"	"01101"	"2016"	"2016"	40	226349	17.7
	"Morgan County, AL"	"01103"	"2003"	"2003"	10	112898	Unreliable
	"Morgan County, AL"	"01103"	"2015"	"2015"	10	119565	Unreliable
	"Morgan County, AL"	"01103"	"2016"	"2016"	10	119012	Unreliable
	"Russell County, AL"	"01113"	"2003"	"2003"	10	49065	Unreliable
	"Russell County, AL"	"01113"	"2005"	"2005"	11	49731	Unreliable
	"Russell County, AL"	"01113"	"2006"	"2006"	10	50459	Unreliable
	"Russell County, AL"	"01113"	"2011"	"2011"	11	54572	Unreliable
	"Russell County, AL"	"01113"	"2016"	"2016"	10	58172	Unreliable
	"Shelby County, AL"	"01117"	"1999"	"1999"	10	140502	Unreliable
	"Shelby County, AL"	"01117"	"2005"	"2005"	10	171691	Unreliable
	"Shelby County, AL"	"01117"	"2009"	"2009"	10	192708	Unreliable
	"Shelby County, AL"	"01117"	"2012"	"2012"	10	200941	Unreliable
	"Talladega County, AL"	"01121"	"2001"	"2001"	11	80939	Unreliable
	"Talladega County, AL"	"01121"	"2008"	"2008"	10	82735	Unreliable
	"Talladega County, AL"	"01121"	"2015"	"2015"	18	80862	Unreliable
	"Tuscaloosa County, AL"	"01125"	"1999"	"1999"	21	164411	12.8
	"Tuscaloosa County, AL"	"01125"	"2000"	"2000"	18	164875	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2001"	"2001"	10	166951	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2004"	"2004"	18	171960	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2005"	"2005"	10	175731	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2006"	"2006"	25	181383	13.8
	"Tuscaloosa County, AL"	"01125"	"2007"	"2007"	21	184350	11.4
	"Tuscaloosa County, AL"	"01125"	"2008"	"2008"	20	188093	10.6
	"Tuscaloosa County, AL"	"01125"	"2009"	"2009"	13	192792	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2010"	"2010"	16	194656	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2012"	"2012"	11	198596	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2013"	"2013"	15	200821	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2014"	"2014"	11	202212	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	14	203976	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2016"	"2016"	16	206102	Unreliable
	"Walker County, AL"	"01127"	"1999"	"1999"	10	70784	Unreliable
	"Anchorage Borough, AK"	"02020"	"1999"	"1999"	17	259348	Unreliable
	"Anchorage Borough, AK"	"02020"	"2000"	"2000"	18	260283	Unreliable
	"Anchorage Borough, AK"	"02020"	"2001"	"2001"	14	264274	Unreliable
	"Anchorage Borough, AK"	"02020"	"2002"	"2002"	20	268229	7.5
	"Anchorage Borough, AK"	"02020"	"2003"	"2003"	20	270568	7.4
	"Anchorage Borough, AK"	"02020"	"2004"	"2004"	18	274484	Unreliable
	"Anchorage Borough, AK"	"02020"	"2005"	"2005"	19	276494	Unreliable
	"Anchorage Borough, AK"	"02020"	"2006"	"2006"	22	280085	7.9
	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	24	278792	8.6
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	13	287677	Unreliable
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	17	291826	Unreliable
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	16	295570	Unreliable
	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	20	298610	6.7
	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	19	300950	Unreliable
	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	14	301010	Unreliable
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	25	298695	8.4
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	31	298192	10.4
	"Apache County, AZ"	"04001"	"1999"	"1999"	10	69801	Unreliable
	"Apache County, AZ"	"04001"	"2001"	"2001"	10	67863	Unreliable
	"Apache County, AZ"	"04001"	"2002"	"2002"	18	67319	Unreliable
	"Apache County, AZ"	"04001"	"2005"	"2005"	10	68521	Unreliable
	"Apache County, AZ"	"04001"	"2006"	"2006"	12	69390	Unreliable
	"Apache County, AZ"	"04001"	"2008"	"2008"	10	69883	Unreliable
	"Apache County, AZ"	"04001"	"2010"	"2010"	10	71518	Unreliable
	"Apache County, AZ"	"04001"	"2012"	"2012"	10	73195	Unreliable
	"Apache County, AZ"	"04001"	"2013"	"2013"	12	71934	Unreliable
	"Apache County, AZ"	"04001"	"2015"	"2015"	18	71474	Unreliable
	"Apache County, AZ"	"04001"	"2016"	"2016"	10	73112	Unreliable
	"Cochise County, AZ"	"04003"	"2001"	"2001"	10	118798	Unreliable
	"Coconino County, AZ"	"04005"	"1999"	"1999"	11	115307	Unreliable
	"Coconino County, AZ"	"04005"	"2002"	"2002"	10	121308	Unreliable
	"Coconino County, AZ"	"04005"	"2004"	"2004"	14	125117	Unreliable
	"Coconino County, AZ"	"04005"	"2007"	"2007"	12	130442	Unreliable
	"Coconino County, AZ"	"04005"	"2011"	"2011"	11	134511	Unreliable
	"Coconino County, AZ"	"04005"	"2012"	"2012"	13	136011	Unreliable
	"Gila County, AZ"	"04007"	"2005"	"2005"	11	51655	Unreliable
	"Maricopa County, AZ"	"04013"	"1999"	"1999"	311	3004985	10.3
	"Maricopa County, AZ"	"04013"	"2000"	"2000"	246	3072149	8.0
	"Maricopa County, AZ"	"04013"	"2001"	"2001"	344	3175989	10.8
	"Maricopa County, AZ"	"04013"	"2002"	"2002"	310	3255388	9.5
	"Maricopa County, AZ"	"04013"	"2003"	"2003"	331	3328468	9.9
	"Maricopa County, AZ"	"04013"	"2004"	"2004"	317	3417860	9.3
	"Maricopa County, AZ"	"04013"	"2005"	"2005"	343	3538988	9.7
	"Maricopa County, AZ"	"04013"	"2006"	"2006"	364	3642884	10.0
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	347	3711954	9.3
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	289	3771061	7.7
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	225	3803779	5.9
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	235	3817117	6.2
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	210	3880244	5.4
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	215	3942169	5.5
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	218	4009412	5.4
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	203	4087191	5.0
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	229	4167947	5.5
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	257	4242997	6.1
	"Mohave County, AZ"	"04015"	"1999"	"1999"	15	150351	Unreliable
	"Mohave County, AZ"	"04015"	"2003"	"2003"	14	172633	Unreliable
	"Mohave County, AZ"	"04015"	"2004"	"2004"	14	180521	Unreliable
	"Mohave County, AZ"	"04015"	"2005"	"2005"	17	188773	Unreliable
	"Mohave County, AZ"	"04015"	"2006"	"2006"	15	196168	Unreliable
	"Mohave County, AZ"	"04015"	"2007"	"2007"	18	199760	Unreliable
	"Mohave County, AZ"	"04015"	"2008"	"2008"	12	200078	Unreliable
	"Mohave County, AZ"	"04015"	"2009"	"2009"	13	199696	Unreliable
	"Mohave County, AZ"	"04015"	"2010"	"2010"	13	200186	Unreliable
	"Mohave County, AZ"	"04015"	"2011"	"2011"	11	202351	Unreliable
	"Mohave County, AZ"	"04015"	"2012"	"2012"	14	203334	Unreliable
	"Mohave County, AZ"	"04015"	"2013"	"2013"	11	203030	Unreliable
	"Mohave County, AZ"	"04015"	"2016"	"2016"	18	205249	Unreliable
	"Navajo County, AZ"	"04017"	"2002"	"2002"	12	100123	Unreliable
	"Navajo County, AZ"	"04017"	"2003"	"2003"	13	101529	Unreliable
	"Navajo County, AZ"	"04017"	"2004"	"2004"	20	102774	19.5
	"Navajo County, AZ"	"04017"	"2005"	"2005"	11	104184	Unreliable
	"Navajo County, AZ"	"04017"	"2006"	"2006"	12	105624	Unreliable
	"Navajo County, AZ"	"04017"	"2007"	"2007"	14	106927	Unreliable
	"Navajo County, AZ"	"04017"	"2010"	"2010"	17	107449	Unreliable
	"Navajo County, AZ"	"04017"	"2011"	"2011"	13	107398	Unreliable
	"Navajo County, AZ"	"04017"	"2012"	"2012"	13	107094	Unreliable
	"Navajo County, AZ"	"04017"	"2013"	"2013"	14	107322	Unreliable
	"Navajo County, AZ"	"04017"	"2015"	"2015"	11	108277	Unreliable
	"Navajo County, AZ"	"04017"	"2016"	"2016"	11	110026	Unreliable
	"Pima County, AZ"	"04019"	"1999"	"1999"	63	828905	7.6
	"Pima County, AZ"	"04019"	"2000"	"2000"	88	843746	10.4
	"Pima County, AZ"	"04019"	"2001"	"2001"	53	859280	6.2
	"Pima County, AZ"	"04019"	"2002"	"2002"	96	874267	11.0
	"Pima County, AZ"	"04019"	"2003"	"2003"	75	885893	8.5
	"Pima County, AZ"	"04019"	"2004"	"2004"	86	901342	9.5
	"Pima County, AZ"	"04019"	"2005"	"2005"	72	920298	7.8
	"Pima County, AZ"	"04019"	"2006"	"2006"	79	940930	8.4
	"Pima County, AZ"	"04019"	"2007"	"2007"	76	955869	8.0
	"Pima County, AZ"	"04019"	"2008"	"2008"	101	967778	10.4
	"Pima County, AZ"	"04019"	"2009"	"2009"	68	975580	7.0
	"Pima County, AZ"	"04019"	"2010"	"2010"	79	980263	8.1
	"Pima County, AZ"	"04019"	"2011"	"2011"	78	989569	7.9
	"Pima County, AZ"	"04019"	"2012"	"2012"	55	992394	5.5
	"Pima County, AZ"	"04019"	"2013"	"2013"	71	996554	7.1
	"Pima County, AZ"	"04019"	"2014"	"2014"	46	1004516	4.6
	"Pima County, AZ"	"04019"	"2015"	"2015"	48	1010025	4.8
	"Pima County, AZ"	"04019"	"2016"	"2016"	56	1016206	5.5
	"Pinal County, AZ"	"04021"	"1999"	"1999"	13	173364	Unreliable
	"Pinal County, AZ"	"04021"	"2000"	"2000"	12	179727	Unreliable
	"Pinal County, AZ"	"04021"	"2001"	"2001"	18	187747	Unreliable
	"Pinal County, AZ"	"04021"	"2002"	"2002"	17	197082	Unreliable
	"Pinal County, AZ"	"04021"	"2003"	"2003"	14	207920	Unreliable
	"Pinal County, AZ"	"04021"	"2004"	"2004"	19	219472	Unreliable
	"Pinal County, AZ"	"04021"	"2005"	"2005"	28	235708	11.9
	"Pinal County, AZ"	"04021"	"2006"	"2006"	19	271328	Unreliable
	"Pinal County, AZ"	"04021"	"2007"	"2007"	18	306174	Unreliable
	"Pinal County, AZ"	"04021"	"2008"	"2008"	15	335311	Unreliable
	"Pinal County, AZ"	"04021"	"2009"	"2009"	25	349830	7.1
	"Pinal County, AZ"	"04021"	"2010"	"2010"	18	375770	Unreliable
	"Pinal County, AZ"	"04021"	"2011"	"2011"	21	382992	5.5
	"Pinal County, AZ"	"04021"	"2012"	"2012"	26	387365	6.7
	"Pinal County, AZ"	"04021"	"2013"	"2013"	19	389350	Unreliable
	"Pinal County, AZ"	"04021"	"2014"	"2014"	20	401918	5.0
	"Pinal County, AZ"	"04021"	"2015"	"2015"	15	406584	Unreliable
	"Pinal County, AZ"	"04021"	"2016"	"2016"	20	418540	4.8
	"Yavapai County, AZ"	"04025"	"1999"	"1999"	12	162943	Unreliable
	"Yavapai County, AZ"	"04025"	"2002"	"2002"	10	177362	Unreliable
	"Yavapai County, AZ"	"04025"	"2010"	"2010"	10	211033	Unreliable
	"Yavapai County, AZ"	"04025"	"2011"	"2011"	15	211888	Unreliable
	"Yavapai County, AZ"	"04025"	"2012"	"2012"	10	212637	Unreliable
	"Yavapai County, AZ"	"04025"	"2015"	"2015"	12	222255	Unreliable
	"Yuma County, AZ"	"04027"	"2005"	"2005"	17	178816	Unreliable
	"Yuma County, AZ"	"04027"	"2006"	"2006"	10	183848	Unreliable
	"Yuma County, AZ"	"04027"	"2007"	"2007"	10	187357	Unreliable
	"Yuma County, AZ"	"04027"	"2011"	"2011"	11	200870	Unreliable
	"Yuma County, AZ"	"04027"	"2016"	"2016"	10	205631	Unreliable
	"Crittenden County, AR"	"05035"	"2000"	"2000"	11	50866	Unreliable
	"Crittenden County, AR"	"05035"	"2005"	"2005"	13	50244	Unreliable
	"Crittenden County, AR"	"05035"	"2007"	"2007"	10	50438	Unreliable
	"Crittenden County, AR"	"05035"	"2016"	"2016"	16	49235	Unreliable
	"Garland County, AR"	"05051"	"2004"	"2004"	10	91084	Unreliable
	"Garland County, AR"	"05051"	"2007"	"2007"	11	94753	Unreliable
	"Garland County, AR"	"05051"	"2009"	"2009"	13	95840	Unreliable
	"Garland County, AR"	"05051"	"2010"	"2010"	11	96024	Unreliable
	"Garland County, AR"	"05051"	"2012"	"2012"	11	96903	Unreliable
	"Garland County, AR"	"05051"	"2013"	"2013"	10	97173	Unreliable
	"Jefferson County, AR"	"05069"	"2000"	"2000"	16	84278	Unreliable
	"Jefferson County, AR"	"05069"	"2002"	"2002"	10	82760	Unreliable
	"Jefferson County, AR"	"05069"	"2003"	"2003"	19	82193	Unreliable
	"Jefferson County, AR"	"05069"	"2004"	"2004"	12	81455	Unreliable
	"Jefferson County, AR"	"05069"	"2005"	"2005"	18	80562	Unreliable
	"Jefferson County, AR"	"05069"	"2006"	"2006"	16	79977	Unreliable
	"Jefferson County, AR"	"05069"	"2007"	"2007"	18	78788	Unreliable
	"Jefferson County, AR"	"05069"	"2008"	"2008"	17	78354	Unreliable
	"Jefferson County, AR"	"05069"	"2009"	"2009"	18	77759	Unreliable
	"Jefferson County, AR"	"05069"	"2010"	"2010"	10	77435	Unreliable
	"Jefferson County, AR"	"05069"	"2011"	"2011"	19	76246	Unreliable
	"Jefferson County, AR"	"05069"	"2012"	"2012"	20	74723	26.8
	"Jefferson County, AR"	"05069"	"2013"	"2013"	18	73191	Unreliable
	"Jefferson County, AR"	"05069"	"2014"	"2014"	17	72297	Unreliable
	"Jefferson County, AR"	"05069"	"2015"	"2015"	13	71565	Unreliable
	"Jefferson County, AR"	"05069"	"2016"	"2016"	13	70016	Unreliable
	"Mississippi County, AR"	"05093"	"2010"	"2010"	12	46480	Unreliable
	"Mississippi County, AR"	"05093"	"2015"	"2015"	10	43738	Unreliable
	"Mississippi County, AR"	"05093"	"2016"	"2016"	13	42835	Unreliable
	"Phillips County, AR"	"05107"	"2004"	"2004"	10	24174	Unreliable
	"Phillips County, AR"	"05107"	"2009"	"2009"	10	21976	Unreliable
	"Phillips County, AR"	"05107"	"2011"	"2011"	12	21442	Unreliable
	"Pulaski County, AR"	"05119"	"1999"	"1999"	47	360312	13.0
	"Pulaski County, AR"	"05119"	"2000"	"2000"	50	361474	13.8
	"Pulaski County, AR"	"05119"	"2001"	"2001"	48	362866	13.2
	"Pulaski County, AR"	"05119"	"2002"	"2002"	54	364327	14.8
	"Pulaski County, AR"	"05119"	"2003"	"2003"	59	365258	16.2
	"Pulaski County, AR"	"05119"	"2004"	"2004"	54	366608	14.7
	"Pulaski County, AR"	"05119"	"2005"	"2005"	52	368274	14.1
	"Pulaski County, AR"	"05119"	"2006"	"2006"	80	371647	21.5
	"Pulaski County, AR"	"05119"	"2007"	"2007"	78	373403	20.9
	"Pulaski County, AR"	"05119"	"2008"	"2008"	61	376567	16.2
	"Pulaski County, AR"	"05119"	"2009"	"2009"	48	380053	12.6
	"Pulaski County, AR"	"05119"	"2010"	"2010"	39	382748	10.2
	"Pulaski County, AR"	"05119"	"2011"	"2011"	58	386299	15.0
	"Pulaski County, AR"	"05119"	"2012"	"2012"	58	388953	14.9
	"Pulaski County, AR"	"05119"	"2013"	"2013"	51	391284	13.0
	"Pulaski County, AR"	"05119"	"2014"	"2014"	63	392702	16.0
	"Pulaski County, AR"	"05119"	"2015"	"2015"	56	392664	14.3
	"Pulaski County, AR"	"05119"	"2016"	"2016"	64	393250	16.3
	"Sebastian County, AR"	"05131"	"2001"	"2001"	12	116488	Unreliable
	"Sebastian County, AR"	"05131"	"2003"	"2003"	11	117725	Unreliable
	"Union County, AR"	"05139"	"2005"	"2005"	11	43134	Unreliable
	"Washington County, AR"	"05143"	"2004"	"2004"	12	176837	Unreliable
	"Washington County, AR"	"05143"	"2015"	"2015"	12	225477	Unreliable
	"Alameda County, CA"	"06001"	"1999"	"1999"	99	1427114	6.9
	"Alameda County, CA"	"06001"	"2000"	"2000"	119	1443741	8.2
	"Alameda County, CA"	"06001"	"2001"	"2001"	99	1469484	6.7
	"Alameda County, CA"	"06001"	"2002"	"2002"	147	1462106	10.1
	"Alameda County, CA"	"06001"	"2003"	"2003"	139	1454163	9.6
	"Alameda County, CA"	"06001"	"2004"	"2004"	113	1445721	7.8
	"Alameda County, CA"	"06001"	"2005"	"2005"	127	1441545	8.8
	"Alameda County, CA"	"06001"	"2006"	"2006"	174	1444484	12.0
	"Alameda County, CA"	"06001"	"2007"	"2007"	156	1455715	10.7
	"Alameda County, CA"	"06001"	"2008"	"2008"	156	1477208	10.6
	"Alameda County, CA"	"06001"	"2009"	"2009"	128	1498539	8.5
	"Alameda County, CA"	"06001"	"2010"	"2010"	128	1510271	8.5
	"Alameda County, CA"	"06001"	"2011"	"2011"	125	1529875	8.2
	"Alameda County, CA"	"06001"	"2012"	"2012"	145	1554720	9.3
	"Alameda County, CA"	"06001"	"2013"	"2013"	104	1578891	6.6
	"Alameda County, CA"	"06001"	"2014"	"2014"	105	1610921	6.5
	"Alameda County, CA"	"06001"	"2015"	"2015"	111	1638215	6.8
	"Alameda County, CA"	"06001"	"2016"	"2016"	118	1647704	7.2
	"Butte County, CA"	"06007"	"2001"	"2001"	12	206193	Unreliable
	"Butte County, CA"	"06007"	"2005"	"2005"	10	214752	Unreliable
	"Butte County, CA"	"06007"	"2006"	"2006"	11	216824	Unreliable
	"Butte County, CA"	"06007"	"2009"	"2009"	12	219777	Unreliable
	"Butte County, CA"	"06007"	"2012"	"2012"	10	221539	Unreliable
	"Contra Costa County, CA"	"06013"	"1999"	"1999"	62	936983	6.6
	"Contra Costa County, CA"	"06013"	"2000"	"2000"	57	948816	6.0
	"Contra Costa County, CA"	"06013"	"2001"	"2001"	57	970952	5.9
	"Contra Costa County, CA"	"06013"	"2002"	"2002"	66	979862	6.7
	"Contra Costa County, CA"	"06013"	"2003"	"2003"	87	987531	8.8
	"Contra Costa County, CA"	"06013"	"2004"	"2004"	80	992424	8.1
	"Contra Costa County, CA"	"06013"	"2005"	"2005"	85	999013	8.5
	"Contra Costa County, CA"	"06013"	"2006"	"2006"	89	1000834	8.9
	"Contra Costa County, CA"	"06013"	"2007"	"2007"	113	1009152	11.2
	"Contra Costa County, CA"	"06013"	"2008"	"2008"	88	1023344	8.6
	"Contra Costa County, CA"	"06013"	"2009"	"2009"	97	1037890	9.3
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	80	1049025	7.6
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	72	1066096	6.8
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	65	1079597	6.0
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	64	1094205	5.8
	"Contra Costa County, CA"	"06013"	"2014"	"2014"	62	1111339	5.6
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	76	1126745	6.7
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	69	1135127	6.1
	"Fresno County, CA"	"06019"	"1999"	"1999"	38	789405	4.8
	"Fresno County, CA"	"06019"	"2000"	"2000"	41	799407	5.1
	"Fresno County, CA"	"06019"	"2001"	"2001"	62	813021	7.6
	"Fresno County, CA"	"06019"	"2002"	"2002"	64	829762	7.7
