"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Colorado"	"08"	"2002"	"2002"	184	4490406	4.1
	"Colorado"	"08"	"2003"	"2003"	190	4528732	4.2
	"Colorado"	"08"	"2004"	"2004"	217	4575013	4.7
	"Colorado"	"08"	"2005"	"2005"	178	4631888	3.8
	"Colorado"	"08"	"2006"	"2006"	177	4720423	3.7
	"Colorado"	"08"	"2007"	"2007"	167	4803868	3.5
	"Colorado"	"08"	"2008"	"2008"	190	4889730	3.9
	"Colorado"	"08"	"2009"	"2009"	190	4972195	3.8
	"Colorado"	"08"	"2010"	"2010"	168	5029196	3.3
	"Colorado"	"08"	"2011"	"2011"	189	5116796	3.7
	"Colorado"	"08"	"2012"	"2012"	204	5187582	3.9
	"Colorado"	"08"	"2013"	"2013"	183	5268367	3.5
	"Colorado"	"08"	"2014"	"2014"	169	5355866	3.2
	"Colorado"	"08"	"2015"	"2015"	201	5456574	3.7
	"Colorado"	"08"	"2016"	"2016"	229	5540545	4.1
	"Connecticut"	"09"	"1999"	"1999"	120	3386401	3.5
	"Connecticut"	"09"	"2000"	"2000"	94	3405565	2.8
	"Connecticut"	"09"	"2001"	"2001"	107	3432835	3.1
	"Connecticut"	"09"	"2002"	"2002"	98	3458749	2.8
	"Connecticut"	"09"	"2003"	"2003"	103	3484336	3.0
	"Connecticut"	"09"	"2004"	"2004"	108	3496094	3.1
	"Connecticut"	"09"	"2005"	"2005"	105	3506956	3.0
	"Connecticut"	"09"	"2006"	"2006"	132	3517460	3.8
	"Connecticut"	"09"	"2007"	"2007"	105	3527270	3.0
	"Connecticut"	"09"	"2008"	"2008"	127	3545579	3.6
	"Connecticut"	"09"	"2009"	"2009"	111	3561807	3.1
	"Connecticut"	"09"	"2010"	"2010"	141	3574097	3.9
	"Connecticut"	"09"	"2011"	"2011"	134	3580709	3.7
	"Connecticut"	"09"	"2012"	"2012"	150	3590347	4.2
	"Connecticut"	"09"	"2013"	"2013"	99	3596080	2.8
	"Connecticut"	"09"	"2014"	"2014"	99	3596677	2.8
	"Connecticut"	"09"	"2015"	"2015"	121	3590886	3.4
	"Connecticut"	"09"	"2016"	"2016"	88	3576452	2.5
	"Delaware"	"10"	"1999"	"1999"	24	774990	3.1
	"Delaware"	"10"	"2000"	"2000"	23	783600	2.9
	"Delaware"	"10"	"2001"	"2001"	31	795699	3.9
	"Delaware"	"10"	"2002"	"2002"	38	806169	4.7
	"Delaware"	"10"	"2003"	"2003"	25	818003	3.1
	"Delaware"	"10"	"2004"	"2004"	35	830803	4.2
	"Delaware"	"10"	"2005"	"2005"	55	845150	6.5
	"Delaware"	"10"	"2006"	"2006"	49	859268	5.7
	"Delaware"	"10"	"2007"	"2007"	48	871749	5.5
	"Delaware"	"10"	"2008"	"2008"	65	883874	7.4
	"Delaware"	"10"	"2009"	"2009"	45	891730	5.0
	"Delaware"	"10"	"2010"	"2010"	61	897934	6.8
	"Delaware"	"10"	"2011"	"2011"	49	907135	5.4
	"Delaware"	"10"	"2012"	"2012"	62	917092	6.8
	"Delaware"	"10"	"2013"	"2013"	52	925749	5.6
	"Delaware"	"10"	"2014"	"2014"	57	935614	6.1
	"Delaware"	"10"	"2015"	"2015"	65	945934	6.9
	"Delaware"	"10"	"2016"	"2016"	62	952065	6.5
	"District of Columbia"	"11"	"1999"	"1999"	185	570213	32.4
	"District of Columbia"	"11"	"2000"	"2000"	180	572059	31.5
	"District of Columbia"	"11"	"2001"	"2001"	182	574504	31.7
	"District of Columbia"	"11"	"2002"	"2002"	228	573158	39.8
	"District of Columbia"	"11"	"2003"	"2003"	190	568502	33.4
	"District of Columbia"	"11"	"2004"	"2004"	173	567754	30.5
	"District of Columbia"	"11"	"2005"	"2005"	178	567136	31.4
	"District of Columbia"	"11"	"2006"	"2006"	150	570681	26.3
	"District of Columbia"	"11"	"2007"	"2007"	159	574404	27.7
	"District of Columbia"	"11"	"2008"	"2008"	162	580236	27.9
	"District of Columbia"	"11"	"2009"	"2009"	133	592228	22.5
	"District of Columbia"	"11"	"2010"	"2010"	113	601723	18.8
	"District of Columbia"	"11"	"2011"	"2011"	107	617996	17.3
	"District of Columbia"	"11"	"2012"	"2012"	78	632323	12.3
	"District of Columbia"	"11"	"2013"	"2013"	88	646449	13.6
	"District of Columbia"	"11"	"2014"	"2014"	95	658893	14.4
	"District of Columbia"	"11"	"2015"	"2015"	135	672228	20.1
	"District of Columbia"	"11"	"2016"	"2016"	125	681170	18.4
	"Florida"	"12"	"1999"	"1999"	955	15759421	6.1
	"Florida"	"12"	"2000"	"2000"	920	15982378	5.8
	"Florida"	"12"	"2001"	"2001"	951	16356966	5.8
	"Florida"	"12"	"2002"	"2002"	994	16689370	6.0
	"Florida"	"12"	"2003"	"2003"	994	17004085	5.8
	"Florida"	"12"	"2004"	"2004"	1018	17415318	5.8
	"Florida"	"12"	"2005"	"2005"	983	17842038	5.5
	"Florida"	"12"	"2006"	"2006"	1199	18166990	6.6
	"Florida"	"12"	"2007"	"2007"	1301	18367842	7.1
	"Florida"	"12"	"2008"	"2008"	1279	18527305	6.9
	"Florida"	"12"	"2009"	"2009"	1118	18652644	6.0
	"Florida"	"12"	"2010"	"2010"	1093	18801310	5.8
	"Florida"	"12"	"2011"	"2011"	1119	19057542	5.9
	"Florida"	"12"	"2012"	"2012"	1182	19317568	6.1
	"Florida"	"12"	"2013"	"2013"	1122	19552860	5.7
	"Florida"	"12"	"2014"	"2014"	1140	19893297	5.7
	"Florida"	"12"	"2015"	"2015"	1180	20271272	5.8
	"Florida"	"12"	"2016"	"2016"	1275	20612439	6.2
	"Georgia"	"13"	"1999"	"1999"	629	8045965	7.8
	"Georgia"	"13"	"2000"	"2000"	653	8186453	8.0
	"Georgia"	"13"	"2001"	"2001"	665	8377038	7.9
	"Georgia"	"13"	"2002"	"2002"	656	8508256	7.7
	"Georgia"	"13"	"2003"	"2003"	706	8622793	8.2
	"Georgia"	"13"	"2004"	"2004"	647	8769252	7.4
	"Georgia"	"13"	"2005"	"2005"	638	8925922	7.1
	"Georgia"	"13"	"2006"	"2006"	677	9155813	7.4
	"Georgia"	"13"	"2007"	"2007"	766	9349988	8.2
	"Georgia"	"13"	"2008"	"2008"	708	9504843	7.4
	"Georgia"	"13"	"2009"	"2009"	629	9620846	6.5
	"Georgia"	"13"	"2010"	"2010"	633	9687653	6.5
	"Georgia"	"13"	"2011"	"2011"	613	9815210	6.2
	"Georgia"	"13"	"2012"	"2012"	654	9919945	6.6
	"Georgia"	"13"	"2013"	"2013"	628	9992167	6.3
	"Georgia"	"13"	"2014"	"2014"	650	10097343	6.4
	"Georgia"	"13"	"2015"	"2015"	727	10214860	7.1
	"Georgia"	"13"	"2016"	"2016"	800	10310371	7.8
	"Hawaii"	"15"	"1999"	"1999"	38	1210300	3.1
	"Hawaii"	"15"	"2000"	"2000"	35	1211537	2.9
	"Hawaii"	"15"	"2001"	"2001"	32	1225948	2.6
	"Hawaii"	"15"	"2002"	"2002"	38	1239613	3.1
	"Hawaii"	"15"	"2003"	"2003"	20	1251154	1.6
	"Hawaii"	"15"	"2004"	"2004"	31	1273569	2.4
	"Hawaii"	"15"	"2005"	"2005"	25	1292729	1.9
	"Hawaii"	"15"	"2006"	"2006"	28	1309731	2.1
	"Hawaii"	"15"	"2007"	"2007"	23	1315675	1.7
	"Hawaii"	"15"	"2008"	"2008"	27	1332213	2.0
	"Hawaii"	"15"	"2009"	"2009"	23	1346717	1.7
	"Hawaii"	"15"	"2010"	"2010"	24	1360301	1.8
	"Hawaii"	"15"	"2011"	"2011"	16	1374810	Unreliable
	"Hawaii"	"15"	"2012"	"2012"	22	1392313	1.6
	"Hawaii"	"15"	"2013"	"2013"	33	1404054	2.4
	"Hawaii"	"15"	"2014"	"2014"	28	1419561	2.0
	"Hawaii"	"15"	"2015"	"2015"	31	1431603	2.2
	"Hawaii"	"15"	"2016"	"2016"	39	1428557	2.7
	"Idaho"	"16"	"1999"	"1999"	31	1275674	2.4
	"Idaho"	"16"	"2000"	"2000"	23	1293953	1.8
	"Idaho"	"16"	"2001"	"2001"	40	1319962	3.0
	"Idaho"	"16"	"2002"	"2002"	31	1340372	2.3
	"Idaho"	"16"	"2003"	"2003"	33	1363380	2.4
	"Idaho"	"16"	"2004"	"2004"	31	1391802	2.2
	"Idaho"	"16"	"2005"	"2005"	44	1428241	3.1
	"Idaho"	"16"	"2006"	"2006"	38	1468669	2.6
	"Idaho"	"16"	"2007"	"2007"	48	1505105	3.2
	"Idaho"	"16"	"2008"	"2008"	24	1534320	1.6
	"Idaho"	"16"	"2009"	"2009"	22	1554439	1.4
	"Idaho"	"16"	"2010"	"2010"	22	1567582	1.4
	"Idaho"	"16"	"2011"	"2011"	29	1584985	1.8
	"Idaho"	"16"	"2012"	"2012"	32	1595728	2.0
	"Idaho"	"16"	"2013"	"2013"	31	1612136	1.9
	"Idaho"	"16"	"2014"	"2014"	36	1634464	2.2
	"Idaho"	"16"	"2015"	"2015"	33	1654930	2.0
	"Idaho"	"16"	"2016"	"2016"	30	1683140	1.8
	"Illinois"	"17"	"1999"	"1999"	1015	12359020	8.2
	"Illinois"	"17"	"2000"	"2000"	984	12419293	7.9
	"Illinois"	"17"	"2001"	"2001"	1065	12488445	8.5
	"Illinois"	"17"	"2002"	"2002"	998	12525556	8.0
	"Illinois"	"17"	"2003"	"2003"	953	12556006	7.6
	"Illinois"	"17"	"2004"	"2004"	860	12589773	6.8
	"Illinois"	"17"	"2005"	"2005"	853	12609903	6.8
	"Illinois"	"17"	"2006"	"2006"	859	12643955	6.8
	"Illinois"	"17"	"2007"	"2007"	852	12695866	6.7
	"Illinois"	"17"	"2008"	"2008"	862	12747038	6.8
	"Illinois"	"17"	"2009"	"2009"	865	12796778	6.8
	"Illinois"	"17"	"2010"	"2010"	773	12830632	6.0
	"Illinois"	"17"	"2011"	"2011"	802	12869257	6.2
	"Illinois"	"17"	"2012"	"2012"	819	12875255	6.4
	"Illinois"	"17"	"2013"	"2013"	783	12882135	6.1
	"Illinois"	"17"	"2014"	"2014"	780	12880580	6.1
	"Illinois"	"17"	"2015"	"2015"	845	12859995	6.6
	"Illinois"	"17"	"2016"	"2016"	1142	12801539	8.9
	"Indiana"	"18"	"1999"	"1999"	386	6044969	6.4
	"Indiana"	"18"	"2000"	"2000"	366	6080485	6.0
	"Indiana"	"18"	"2001"	"2001"	435	6127760	7.1
	"Indiana"	"18"	"2002"	"2002"	384	6155967	6.2
	"Indiana"	"18"	"2003"	"2003"	345	6196638	5.6
	"Indiana"	"18"	"2004"	"2004"	332	6233007	5.3
	"Indiana"	"18"	"2005"	"2005"	366	6278616	5.8
	"Indiana"	"18"	"2006"	"2006"	372	6332669	5.9
	"Indiana"	"18"	"2007"	"2007"	370	6379599	5.8
	"Indiana"	"18"	"2008"	"2008"	319	6424806	5.0
	"Indiana"	"18"	"2009"	"2009"	340	6459325	5.3
	"Indiana"	"18"	"2010"	"2010"	314	6483802	4.8
	"Indiana"	"18"	"2011"	"2011"	312	6516922	4.8
	"Indiana"	"18"	"2012"	"2012"	342	6537334	5.2
	"Indiana"	"18"	"2013"	"2013"	398	6570902	6.1
	"Indiana"	"18"	"2014"	"2014"	363	6596855	5.5
	"Indiana"	"18"	"2015"	"2015"	387	6619680	5.8
	"Indiana"	"18"	"2016"	"2016"	478	6633053	7.2
	"Iowa"	"19"	"1999"	"1999"	52	2917634	1.8
	"Iowa"	"19"	"2000"	"2000"	57	2926324	1.9
	"Iowa"	"19"	"2001"	"2001"	61	2931997	2.1
	"Iowa"	"19"	"2002"	"2002"	54	2934234	1.8
	"Iowa"	"19"	"2003"	"2003"	50	2941999	1.7
	"Iowa"	"19"	"2004"	"2004"	57	2953635	1.9
	"Iowa"	"19"	"2005"	"2005"	43	2964454	1.5
	"Iowa"	"19"	"2006"	"2006"	73	2982644	2.4
	"Iowa"	"19"	"2007"	"2007"	50	2999212	1.7
	"Iowa"	"19"	"2008"	"2008"	81	3016734	2.7
	"Iowa"	"19"	"2009"	"2009"	43	3032870	1.4
	"Iowa"	"19"	"2010"	"2010"	54	3046355	1.8
	"Iowa"	"19"	"2011"	"2011"	52	3062309	1.7
	"Iowa"	"19"	"2012"	"2012"	61	3074186	2.0
	"Iowa"	"19"	"2013"	"2013"	57	3090416	1.8
	"Iowa"	"19"	"2014"	"2014"	78	3107126	2.5
	"Iowa"	"19"	"2015"	"2015"	72	3123899	2.3
	"Iowa"	"19"	"2016"	"2016"	84	3134693	2.7
	"Kansas"	"20"	"1999"	"1999"	137	2678338	5.1
	"Kansas"	"20"	"2000"	"2000"	140	2688418	5.2
	"Kansas"	"20"	"2001"	"2001"	142	2702162	5.3
	"Kansas"	"20"	"2002"	"2002"	129	2713535	4.8
	"Kansas"	"20"	"2003"	"2003"	120	2723004	4.4
	"Kansas"	"20"	"2004"	"2004"	116	2734373	4.2
	"Kansas"	"20"	"2005"	"2005"	106	2745299	3.9
	"Kansas"	"20"	"2006"	"2006"	113	2762931	4.1
	"Kansas"	"20"	"2007"	"2007"	113	2783785	4.1
	"Kansas"	"20"	"2008"	"2008"	111	2808076	4.0
	"Kansas"	"20"	"2009"	"2009"	127	2832704	4.5
	"Kansas"	"20"	"2010"	"2010"	103	2853118	3.6
	"Kansas"	"20"	"2011"	"2011"	122	2871238	4.2
	"Kansas"	"20"	"2012"	"2012"	102	2885905	3.5
	"Kansas"	"20"	"2013"	"2013"	116	2893957	4.0
	"Kansas"	"20"	"2014"	"2014"	102	2904021	3.5
	"Kansas"	"20"	"2015"	"2015"	128	2911641	4.4
	"Kansas"	"20"	"2016"	"2016"	147	2907289	5.1
	"Kentucky"	"21"	"1999"	"1999"	210	4018053	5.2
	"Kentucky"	"21"	"2000"	"2000"	203	4041769	5.0
	"Kentucky"	"21"	"2001"	"2001"	218	4068132	5.4
	"Kentucky"	"21"	"2002"	"2002"	194	4089875	4.7
	"Kentucky"	"21"	"2003"	"2003"	190	4117170	4.6
	"Kentucky"	"21"	"2004"	"2004"	228	4146101	5.5
	"Kentucky"	"21"	"2005"	"2005"	222	4182742	5.3
	"Kentucky"	"21"	"2006"	"2006"	191	4219239	4.5
	"Kentucky"	"21"	"2007"	"2007"	213	4256672	5.0
	"Kentucky"	"21"	"2008"	"2008"	240	4289878	5.6
	"Kentucky"	"21"	"2009"	"2009"	207	4317074	4.8
	"Kentucky"	"21"	"2010"	"2010"	199	4339367	4.6
	"Kentucky"	"21"	"2011"	"2011"	186	4369356	4.3
	"Kentucky"	"21"	"2012"	"2012"	234	4380415	5.3
	"Kentucky"	"21"	"2013"	"2013"	200	4395295	4.6
	"Kentucky"	"21"	"2014"	"2014"	202	4413457	4.6
	"Kentucky"	"21"	"2015"	"2015"	249	4425092	5.6
	"Kentucky"	"21"	"2016"	"2016"	298	4436974	6.7
	"Louisiana"	"22"	"1999"	"1999"	483	4460811	10.8
	"Louisiana"	"22"	"2000"	"2000"	596	4468976	13.3
	"Louisiana"	"22"	"2001"	"2001"	533	4477875	11.9
	"Louisiana"	"22"	"2002"	"2002"	601	4497267	13.4
	"Louisiana"	"22"	"2003"	"2003"	599	4521042	13.2
	"Louisiana"	"22"	"2004"	"2004"	600	4552238	13.2
	"Louisiana"	"22"	"2005"	"2005"	586	4576628	12.8
	"Louisiana"	"22"	"2006"	"2006"	552	4302665	12.8
	"Louisiana"	"22"	"2007"	"2007"	622	4375581	14.2
	"Louisiana"	"22"	"2008"	"2008"	538	4435586	12.1
	"Louisiana"	"22"	"2009"	"2009"	571	4491648	12.7
	"Louisiana"	"22"	"2010"	"2010"	537	4533372	11.8
	"Louisiana"	"22"	"2011"	"2011"	542	4574836	11.8
	"Louisiana"	"22"	"2012"	"2012"	543	4601893	11.8
	"Louisiana"	"22"	"2013"	"2013"	549	4625470	11.9
	"Louisiana"	"22"	"2014"	"2014"	535	4649676	11.5
	"Louisiana"	"22"	"2015"	"2015"	559	4670724	12.0
	"Louisiana"	"22"	"2016"	"2016"	638	4681666	13.6
	"Maine"	"23"	"1999"	"1999"	25	1266808	2.0
	"Maine"	"23"	"2000"	"2000"	18	1274923	Unreliable
	"Maine"	"23"	"2001"	"2001"	18	1285692	Unreliable
	"Maine"	"23"	"2002"	"2002"	11	1295960	Unreliable
	"Maine"	"23"	"2003"	"2003"	16	1306513	Unreliable
	"Maine"	"23"	"2004"	"2004"	21	1313688	1.6
	"Maine"	"23"	"2005"	"2005"	22	1318787	1.7
	"Maine"	"23"	"2006"	"2006"	20	1323619	1.5
	"Maine"	"23"	"2007"	"2007"	26	1327040	2.0
	"Maine"	"23"	"2008"	"2008"	34	1330509	2.6
	"Maine"	"23"	"2009"	"2009"	30	1329590	2.3
	"Maine"	"23"	"2010"	"2010"	26	1328361	2.0
	"Maine"	"23"	"2011"	"2011"	29	1328188	2.2
	"Maine"	"23"	"2012"	"2012"	29	1329192	2.2
	"Maine"	"23"	"2013"	"2013"	30	1328302	2.3
	"Maine"	"23"	"2014"	"2014"	23	1330089	1.7
	"Maine"	"23"	"2015"	"2015"	22	1329328	1.7
	"Maine"	"23"	"2016"	"2016"	17	1331479	Unreliable
	"Maryland"	"24"	"1999"	"1999"	528	5254509	10.0
	"Maryland"	"24"	"2000"	"2000"	494	5296486	9.3
	"Maryland"	"24"	"2001"	"2001"	496	5374691	9.2
	"Maryland"	"24"	"2002"	"2002"	536	5440389	9.9
	"Maryland"	"24"	"2003"	"2003"	545	5496269	9.9
	"Maryland"	"24"	"2004"	"2004"	530	5546935	9.6
	"Maryland"	"24"	"2005"	"2005"	566	5592379	10.1
	"Maryland"	"24"	"2006"	"2006"	556	5627367	9.9
	"Maryland"	"24"	"2007"	"2007"	568	5653408	10.0
	"Maryland"	"24"	"2008"	"2008"	515	5684965	9.1
	"Maryland"	"24"	"2009"	"2009"	441	5730388	7.7
	"Maryland"	"24"	"2010"	"2010"	432	5773552	7.5
	"Maryland"	"24"	"2011"	"2011"	409	5828289	7.0
	"Maryland"	"24"	"2012"	"2012"	398	5884563	6.8
	"Maryland"	"24"	"2013"	"2013"	411	5928814	6.9
	"Maryland"	"24"	"2014"	"2014"	376	5976407	6.3
	"Maryland"	"24"	"2015"	"2015"	586	6006401	9.8
	"Maryland"	"24"	"2016"	"2016"	571	6016447	9.5
	"Massachusetts"	"25"	"1999"	"1999"	133	6317345	2.1
	"Massachusetts"	"25"	"2000"	"2000"	122	6349097	1.9
	"Massachusetts"	"25"	"2001"	"2001"	155	6397634	2.4
	"Massachusetts"	"25"	"2002"	"2002"	184	6417206	2.9
	"Massachusetts"	"25"	"2003"	"2003"	140	6422565	2.2
	"Massachusetts"	"25"	"2004"	"2004"	174	6412281	2.7
	"Massachusetts"	"25"	"2005"	"2005"	178	6403290	2.8
	"Massachusetts"	"25"	"2006"	"2006"	181	6410084	2.8
	"Massachusetts"	"25"	"2007"	"2007"	186	6431559	2.9
	"Massachusetts"	"25"	"2008"	"2008"	165	6468967	2.6
	"Massachusetts"	"25"	"2009"	"2009"	174	6517613	2.7
	"Massachusetts"	"25"	"2010"	"2010"	203	6547629	3.1
	"Massachusetts"	"25"	"2011"	"2011"	198	6587536	3.0
	"Massachusetts"	"25"	"2012"	"2012"	130	6646144	2.0
	"Massachusetts"	"25"	"2013"	"2013"	138	6692824	2.1
	"Massachusetts"	"25"	"2014"	"2014"	131	6745408	1.9
	"Massachusetts"	"25"	"2015"	"2015"	140	6794422	2.1
	"Massachusetts"	"25"	"2016"	"2016"	132	6811779	1.9
	"Michigan"	"26"	"1999"	"1999"	754	9897116	7.6
	"Michigan"	"26"	"2000"	"2000"	715	9938444	7.2
	"Michigan"	"26"	"2001"	"2001"	675	9991120	6.8
	"Michigan"	"26"	"2002"	"2002"	690	10015710	6.9
	"Michigan"	"26"	"2003"	"2003"	644	10041152	6.4
	"Michigan"	"26"	"2004"	"2004"	666	10055315	6.6
	"Michigan"	"26"	"2005"	"2005"	670	10051137	6.7
	"Michigan"	"26"	"2006"	"2006"	713	10036081	7.1
	"Michigan"	"26"	"2007"	"2007"	694	10001284	6.9
	"Michigan"	"26"	"2008"	"2008"	635	9946889	6.4
	"Michigan"	"26"	"2009"	"2009"	648	9901591	6.5
	"Michigan"	"26"	"2010"	"2010"	600	9883640	6.1
	"Michigan"	"26"	"2011"	"2011"	649	9876187	6.6
	"Michigan"	"26"	"2012"	"2012"	723	9883360	7.3
	"Michigan"	"26"	"2013"	"2013"	627	9895622	6.3
	"Michigan"	"26"	"2014"	"2014"	583	9909877	5.9
	"Michigan"	"26"	"2015"	"2015"	582	9922576	5.9
	"Michigan"	"26"	"2016"	"2016"	618	9928300	6.2
	"Minnesota"	"27"	"1999"	"1999"	138	4873481	2.8
	"Minnesota"	"27"	"2000"	"2000"	137	4919479	2.8
	"Minnesota"	"27"	"2001"	"2001"	123	4982796	2.5
	"Minnesota"	"27"	"2002"	"2002"	124	5018935	2.5
	"Minnesota"	"27"	"2003"	"2003"	130	5053572	2.6
	"Minnesota"	"27"	"2004"	"2004"	132	5087713	2.6
	"Minnesota"	"27"	"2005"	"2005"	139	5119598	2.7
	"Minnesota"	"27"	"2006"	"2006"	125	5163555	2.4
	"Minnesota"	"27"	"2007"	"2007"	117	5207203	2.2
	"Minnesota"	"27"	"2008"	"2008"	127	5247018	2.4
	"Minnesota"	"27"	"2009"	"2009"	90	5281203	1.7
	"Minnesota"	"27"	"2010"	"2010"	109	5303925	2.1
	"Minnesota"	"27"	"2011"	"2011"	99	5344861	1.9
	"Minnesota"	"27"	"2012"	"2012"	103	5379139	1.9
	"Minnesota"	"27"	"2013"	"2013"	128	5420380	2.4
	"Minnesota"	"27"	"2014"	"2014"	97	5457173	1.8
	"Minnesota"	"27"	"2015"	"2015"	143	5489594	2.6
	"Minnesota"	"27"	"2016"	"2016"	125	5519952	2.3
